dataset,var,class
baseline,c2_nature_u7_99_4,character
baseline,c3_test_u7_4,haven_labelled/vctrs_vctr/double
baseline,c4_hospital_u7_4,numeric
baseline,c5_amount_u7_4,numeric
baseline,c6_selfmed_u7_4,numeric
baseline,c7_compare_u7_4,haven_labelled/vctrs_vctr/double
baseline,c8_illyesno_u7_4,haven_labelled/vctrs_vctr/double
baseline,c9_insu_u7_4,haven_labelled/vctrs_vctr/double
baseline,c10_seekcare_u7_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_4,character
baseline,c11_disease_u7_1_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_2_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_3_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_4_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_5_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_6_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_7_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_8_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_9_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_10_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_11_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_12_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_13_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_14_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_15_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_16_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_17_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_18_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_19_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_45_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_44_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_43_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_42_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_41_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_40_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_39_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_38_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_37_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_36_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_35_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_34_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_33_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_32_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_31_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_30_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_29_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_28_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_27_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_26_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_25_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_24_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_23_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_22_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_21_4,haven_labelled/vctrs_vctr/double
baseline,c11_disease_u7_20_4,haven_labelled/vctrs_vctr/double
baseline,c12_diagnose_u7_4,haven_labelled/vctrs_vctr/double
baseline,c13_medication_u7_4,haven_labelled/vctrs_vctr/double
baseline,c14_meditake_u7_4,haven_labelled/vctrs_vctr/double
baseline,c15_format_u7_4,character
baseline,c15_format_u7_1_4,haven_labelled/vctrs_vctr/double
baseline,c15_format_u7_2_4,haven_labelled/vctrs_vctr/double
baseline,c15_format_u7_3_4,haven_labelled/vctrs_vctr/double
baseline,c18_virlast_preg,haven_labelled/vctrs_vctr/double
baseline,c18_virlast_u7_1,haven_labelled/vctrs_vctr/double
baseline,c18_virlast_u7_2,haven_labelled/vctrs_vctr/double
baseline,c19_pertime_u7_4,numeric
baseline,c20_personlast_u7_4,haven_labelled/vctrs_vctr/double
baseline,c21_health_u7_4,numeric
baseline,c22_nonhealth_u7_4,numeric
baseline,c22b_u7_total_4,numeric
baseline,c24_stopnormal_u7_4,numeric
baseline,c25_assist_u7_4,character
baseline,c25_assist_u7_0_4,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_1_4,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_2_4,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_3_4,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_4_4,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_5_4,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_6_4,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_8_4,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_7_4,haven_labelled/vctrs_vctr/double
baseline,c25_assist_u7_98_4,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_u7_4,character
baseline,c26_nonsick_u7_1_4,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_u7_2_4,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_u7_3_4,haven_labelled/vctrs_vctr/double
baseline,c26_nonsick_u7_4_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_4,character
baseline,c27_notconsult_u7_1_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_2_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_3_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_4_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_5_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_6_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_7_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_8_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_9_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_10_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_11_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_12_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_13_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_14_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_15_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_16_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_17_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_18_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_19_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_20_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_21_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_22_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_23_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_24_4,haven_labelled/vctrs_vctr/double
baseline,c27_notconsult_u7_25_4,haven_labelled/vctrs_vctr/double
baseline,c28_inpatient_u7_4,haven_labelled/vctrs_vctr/double
baseline,c29_insu_u7_4,haven_labelled/vctrs_vctr/double
baseline,c39_ownearn,haven_labelled/vctrs_vctr/double
baseline,c40_husearn,haven_labelled/vctrs_vctr/double
baseline,c41_health,haven_labelled/vctrs_vctr/double
baseline,c42_health_child,haven_labelled/vctrs_vctr/double
baseline,d1_preg,haven_labelled/vctrs_vctr/double
baseline,d2_insu_preg,haven_labelled/vctrs_vctr/double
baseline,d3_week,numeric
baseline,d4_anc,haven_labelled/vctrs_vctr/double
baseline,d5_firstseek,numeric
baseline,d6_anctime,numeric
baseline,d7_lastvisit,Date
baseline,d8_antecare,character
baseline,d8_antecare_1,haven_labelled/vctrs_vctr/double
baseline,d8_antecare_2,haven_labelled/vctrs_vctr/double
baseline,d8_antecare_3,haven_labelled/vctrs_vctr/double
baseline,d8_antecare_4,haven_labelled/vctrs_vctr/double
baseline,d8_antecare_5,haven_labelled/vctrs_vctr/double
baseline,d8_antecare_6,haven_labelled/vctrs_vctr/double
baseline,d8_antecare_7,haven_labelled/vctrs_vctr/double
baseline,d8_antecare_8,haven_labelled/vctrs_vctr/double
baseline,d8_antecare_9,haven_labelled/vctrs_vctr/double
baseline,d8_antecare_10,haven_labelled/vctrs_vctr/double
baseline,d8_antecare_11,haven_labelled/vctrs_vctr/double
baseline,d9_admit,haven_labelled/vctrs_vctr/double
baseline,d10_past_preg,haven_labelled/vctrs_vctr/double
baseline,d11_year,numeric
baseline,d12_place,haven_labelled/vctrs_vctr/double
baseline,d13_reason,character
baseline,d13_reason_1,haven_labelled/vctrs_vctr/double
baseline,d13_reason_2,haven_labelled/vctrs_vctr/double
baseline,d13_reason_3,haven_labelled/vctrs_vctr/double
baseline,d13_reason_4,haven_labelled/vctrs_vctr/double
baseline,d13_reason_5,haven_labelled/vctrs_vctr/double
baseline,d13_reason_6,haven_labelled/vctrs_vctr/double
baseline,d13_reason_7,haven_labelled/vctrs_vctr/double
baseline,d13_reason_8,haven_labelled/vctrs_vctr/double
baseline,d13_reason_9,haven_labelled/vctrs_vctr/double
baseline,d13_reason_10,haven_labelled/vctrs_vctr/double
baseline,d13_reason_11,haven_labelled/vctrs_vctr/double
baseline,d13_reason_12,haven_labelled/vctrs_vctr/double
baseline,d13_reason_13,haven_labelled/vctrs_vctr/double
baseline,d13_reason_14,haven_labelled/vctrs_vctr/double
baseline,d13_reason_15,haven_labelled/vctrs_vctr/double
baseline,d13_reason_16,haven_labelled/vctrs_vctr/double
baseline,d13_reason_17,haven_labelled/vctrs_vctr/double
baseline,d13_reason_19,haven_labelled/vctrs_vctr/double
baseline,d13_reason_20,haven_labelled/vctrs_vctr/double
baseline,d13_reason_21,haven_labelled/vctrs_vctr/double
baseline,d13_reason_22,haven_labelled/vctrs_vctr/double
baseline,d13_reason_23,haven_labelled/vctrs_vctr/double
baseline,d13_reason_24,haven_labelled/vctrs_vctr/double
baseline,d13_reason_25,haven_labelled/vctrs_vctr/double
baseline,d13_reason_26,haven_labelled/vctrs_vctr/double
baseline,d13_reason_27,haven_labelled/vctrs_vctr/double
baseline,d13_reason_28,haven_labelled/vctrs_vctr/double
baseline,d14_time,numeric
baseline,d15_admit,haven_labelled/vctrs_vctr/double
baseline,e1_vaccine_1,haven_labelled/vctrs_vctr/double
baseline,e2_vaccine_record_1,haven_labelled/vctrs_vctr/double
baseline,e3a_birth_1,haven_labelled/vctrs_vctr/double
baseline,e3b_2months_1,haven_labelled/vctrs_vctr/double
baseline,e3c_4months_1,haven_labelled/vctrs_vctr/double
baseline,e3c_6months_1,haven_labelled/vctrs_vctr/double
baseline,e3d_9months_1,haven_labelled/vctrs_vctr/double
baseline,e3e_half_1,haven_labelled/vctrs_vctr/double
baseline,e3f_other_1,haven_labelled/vctrs_vctr/double
baseline,e1_vaccine_2,haven_labelled/vctrs_vctr/double
baseline,e2_vaccine_record_2,haven_labelled/vctrs_vctr/double
baseline,e3a_birth_2,haven_labelled/vctrs_vctr/double
baseline,e3b_2months_2,haven_labelled/vctrs_vctr/double
baseline,e3c_4months_2,haven_labelled/vctrs_vctr/double
baseline,e3c_6months_2,haven_labelled/vctrs_vctr/double
baseline,e3d_9months_2,haven_labelled/vctrs_vctr/double
baseline,e3e_half_2,haven_labelled/vctrs_vctr/double
baseline,e3f_other_2,haven_labelled/vctrs_vctr/double
baseline,e1_vaccine_3,haven_labelled/vctrs_vctr/double
baseline,e2_vaccine_record_3,haven_labelled/vctrs_vctr/double
baseline,e3a_birth_3,haven_labelled/vctrs_vctr/double
baseline,e3b_2months_3,haven_labelled/vctrs_vctr/double
baseline,e3c_4months_3,haven_labelled/vctrs_vctr/double
baseline,e3c_6months_3,haven_labelled/vctrs_vctr/double
baseline,e3d_9months_3,haven_labelled/vctrs_vctr/double
baseline,e3e_half_3,haven_labelled/vctrs_vctr/double
baseline,e3f_other_3,haven_labelled/vctrs_vctr/double
baseline,e1_vaccine_4,haven_labelled/vctrs_vctr/double
baseline,e2_vaccine_record_4,haven_labelled/vctrs_vctr/double
baseline,e3a_birth_4,haven_labelled/vctrs_vctr/double
baseline,e3b_2months_4,haven_labelled/vctrs_vctr/double
baseline,e3c_4months_4,haven_labelled/vctrs_vctr/double
baseline,e3c_6months_4,haven_labelled/vctrs_vctr/double
baseline,e3d_9months_4,haven_labelled/vctrs_vctr/double
baseline,e3e_half_4,haven_labelled/vctrs_vctr/double
baseline,f1_income,character
baseline,f1_income_0,haven_labelled/vctrs_vctr/double
baseline,f1_income_1,haven_labelled/vctrs_vctr/double
baseline,f1_income_2,haven_labelled/vctrs_vctr/double
baseline,f1_income_3,haven_labelled/vctrs_vctr/double
baseline,f1_income_4,haven_labelled/vctrs_vctr/double
baseline,f1_income_5,haven_labelled/vctrs_vctr/double
baseline,f1_income_6,haven_labelled/vctrs_vctr/double
baseline,f1_income_7,haven_labelled/vctrs_vctr/double
baseline,f1_income_8,haven_labelled/vctrs_vctr/double
baseline,f1_income_9,haven_labelled/vctrs_vctr/double
baseline,f1_income_10,haven_labelled/vctrs_vctr/double
baseline,f1_income_11,haven_labelled/vctrs_vctr/double
baseline,f1_income_12,haven_labelled/vctrs_vctr/double
baseline,f1_income_13,haven_labelled/vctrs_vctr/double
baseline,f1_income_14,haven_labelled/vctrs_vctr/double
baseline,f1_income_15,haven_labelled/vctrs_vctr/double
baseline,f1_income_16,haven_labelled/vctrs_vctr/double
baseline,f1_income_17,haven_labelled/vctrs_vctr/double
baseline,f1_income_18,haven_labelled/vctrs_vctr/double
baseline,f1_income_19,haven_labelled/vctrs_vctr/double
baseline,f1_income_20,haven_labelled/vctrs_vctr/double
baseline,f1_income_21,haven_labelled/vctrs_vctr/double
baseline,f1_income_22,haven_labelled/vctrs_vctr/double
baseline,f1_income_23,haven_labelled/vctrs_vctr/double
baseline,f1_income_24,haven_labelled/vctrs_vctr/double
baseline,f1_income_25,haven_labelled/vctrs_vctr/double
baseline,f1_income_26,haven_labelled/vctrs_vctr/double
baseline,f1_income_27,haven_labelled/vctrs_vctr/double
baseline,f1_income_28,haven_labelled/vctrs_vctr/double
baseline,f1_income_29,haven_labelled/vctrs_vctr/double
baseline,f1_income_30,haven_labelled/vctrs_vctr/double
baseline,f1_income_31,haven_labelled/vctrs_vctr/double
baseline,f1_income_32,haven_labelled/vctrs_vctr/double
baseline,f1_income_33,haven_labelled/vctrs_vctr/double
baseline,f1_income_34,haven_labelled/vctrs_vctr/double
baseline,f1_income_35,haven_labelled/vctrs_vctr/double
baseline,f1_income_36,haven_labelled/vctrs_vctr/double
baseline,f1_income_37,haven_labelled/vctrs_vctr/double
baseline,f2_incomeone,haven_labelled/vctrs_vctr/double
baseline,f3_icomemmk,numeric
baseline,f4a_food,numeric
baseline,f4b_living,numeric
baseline,f4c_water,numeric
baseline,f4d_cloth,numeric
baseline,f4e_social,numeric
baseline,f4f_edu,numeric
baseline,f4g_health,numeric
baseline,f4h_transport,numeric
baseline,f4i_commu,numeric
baseline,fj_electricity,numeric
baseline,f4k_other,numeric
baseline,f4k_other_oth,haven_labelled/vctrs_vctr/double
baseline,g1_shock,haven_labelled/vctrs_vctr/double
baseline,g2_shockyes,character
baseline,g2_shockyes_1,haven_labelled/vctrs_vctr/double
baseline,g2_shockyes_2,haven_labelled/vctrs_vctr/double
baseline,g2_shockyes_3,haven_labelled/vctrs_vctr/double
baseline,g2_shockyes_4,haven_labelled/vctrs_vctr/double
baseline,g2_shockyes_5,haven_labelled/vctrs_vctr/double
baseline,g2_shockyes_6,haven_labelled/vctrs_vctr/double
baseline,g2_shockyes_7,haven_labelled/vctrs_vctr/double
baseline,g2_shockyes_8,haven_labelled/vctrs_vctr/double
baseline,g3_money,haven_labelled/vctrs_vctr/double
baseline,g4_difficult,haven_labelled/vctrs_vctr/double
baseline,g5_difficult1,haven_labelled/vctrs_vctr/double
baseline,g6_force,character
baseline,g6_force_1,haven_labelled/vctrs_vctr/double
baseline,g6_force_2,haven_labelled/vctrs_vctr/double
baseline,g6_force_3,haven_labelled/vctrs_vctr/double
baseline,g6_force_4,haven_labelled/vctrs_vctr/double
baseline,g6_force_5,haven_labelled/vctrs_vctr/double
baseline,g6_force_6,haven_labelled/vctrs_vctr/double
baseline,h1_source,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms,character
baseline,h2_symptoms_1,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_2,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_3,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_4,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_5,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_6,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_7,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_8,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_9,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_10,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_11,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_12,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_13,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_14,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_15,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_16,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_17,haven_labelled/vctrs_vctr/double
baseline,h2_symptoms_98,numeric
baseline,h3_suspected,character
baseline,h3_suspected_1,haven_labelled/vctrs_vctr/double
baseline,h3_suspected_2,haven_labelled/vctrs_vctr/double
baseline,h3_suspected_3,haven_labelled/vctrs_vctr/double
baseline,h3_suspected_4,haven_labelled/vctrs_vctr/double
baseline,h3_suspected_5,haven_labelled/vctrs_vctr/double
baseline,h3_suspected_6,haven_labelled/vctrs_vctr/double
baseline,h3_suspected_7,haven_labelled/vctrs_vctr/double
baseline,h3_suspected_8,haven_labelled/vctrs_vctr/double
baseline,h3_suspected_9,haven_labelled/vctrs_vctr/double
baseline,h3_suspected_10,haven_labelled/vctrs_vctr/double
baseline,h3_suspected_11,haven_labelled/vctrs_vctr/double
baseline,h3_suspected_97,numeric
baseline,h3_suspected_98,numeric
baseline,h4_protect,character
baseline,h4_protect_1,haven_labelled/vctrs_vctr/double
baseline,h4_protect_2,haven_labelled/vctrs_vctr/double
baseline,h4_protect_3,haven_labelled/vctrs_vctr/double
baseline,h4_protect_4,haven_labelled/vctrs_vctr/double
baseline,h4_protect_5,haven_labelled/vctrs_vctr/double
baseline,h4_protect_6,haven_labelled/vctrs_vctr/double
baseline,h4_protect_7,haven_labelled/vctrs_vctr/double
baseline,h4_protect_8,haven_labelled/vctrs_vctr/double
baseline,h4_protect_9,haven_labelled/vctrs_vctr/double
baseline,h4_protect_10,haven_labelled/vctrs_vctr/double
baseline,h4_protect_11,haven_labelled/vctrs_vctr/double
baseline,h4_protect_12,haven_labelled/vctrs_vctr/double
baseline,h4_protect_13,haven_labelled/vctrs_vctr/double
baseline,h4_protect_14,haven_labelled/vctrs_vctr/double
baseline,h4_protect_15,haven_labelled/vctrs_vctr/double
baseline,h4_protect_16,haven_labelled/vctrs_vctr/double
baseline,h4_protect_17,haven_labelled/vctrs_vctr/double
baseline,h4_protect_18,haven_labelled/vctrs_vctr/double
baseline,h4_protect_19,haven_labelled/vctrs_vctr/double
baseline,h4_protect_20,haven_labelled/vctrs_vctr/double
baseline,h4_protect_21,haven_labelled/vctrs_vctr/double
baseline,h4_protect_22,haven_labelled/vctrs_vctr/double
baseline,h4_protect_98,numeric
baseline,h5_emergency,character
baseline,h5_emergency_1,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_2,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_3,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_4,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_5,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_6,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_7,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_8,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_9,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_10,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_11,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_12,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_13,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_14,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_15,haven_labelled/vctrs_vctr/double
baseline,h5_emergency_97,numeric
baseline,h5_emergency_98,numeric
baseline,j1_fucall,haven_labelled/vctrs_vctr/double
baseline,j3_time,haven_labelled/vctrs_vctr/double
baseline,call_status,haven_labelled/vctrs_vctr/double
baseline,key,character
baseline,submissiondate,Date
baseline,enroll_more_baseline,numeric
baseline,ch_account_id,character
baseline,survey,numeric
baseline,hh_id,character
baseline,strata,character
baseline,group_raw,haven_labelled/vctrs_vctr/double
baseline,treat,integer
endline,duration,numeric
endline,caseid,character
endline,a3_enu_nm,character
endline,consent,haven_labelled/vctrs_vctr/double
endline,b1a_audio,haven_labelled/vctrs_vctr/double
endline,resp_gen,haven_labelled/vctrs_vctr/double
endline,a1_tsp_end,haven_labelled/vctrs_vctr/double
endline,a1_ntsp,character
endline,a2_ward_end,haven_labelled/vctrs_vctr/double
endline,a8_employ,haven_labelled/vctrs_vctr/double
endline,a10_total,numeric
endline,a11_1_hh_change,character
endline,a11_1_hh_change_1,haven_labelled/vctrs_vctr/double
endline,a11_1_hh_change_2,haven_labelled/vctrs_vctr/double
endline,a11_1_hh_change_3,haven_labelled/vctrs_vctr/double
endline,a11_2_hh_join,numeric
endline,a11_3_hh_left,numeric
endline,a12_1_adult,numeric
endline,a13_1_preg_j,numeric
endline,a13_2_preg_l,numeric
endline,a14_1_und6_j,numeric
endline,a14_2_und6_l,numeric
endline,b1_0to4,numeric
endline,b2_5to9,numeric
endline,a16_pregnm_1,character
endline,a16_age_preg_1,numeric
endline,a16_edu_preg_1,haven_labelled/vctrs_vctr/double
endline,a16_employ_1,haven_labelled/vctrs_vctr/double
endline,a16_employ_bl,haven_labelled/vctrs_vctr/double
endline,a16_u7gender_1,haven_labelled/vctrs_vctr/double
endline,a16_dob_1,Date
endline,a16_u7age_yr_1,character
endline,a16_u7age_mth_1,character
endline,a16_age_u7_1,numeric
endline,a15_u7_relation_1,haven_labelled/vctrs_vctr/double
endline,a16_u7gender_2,haven_labelled/vctrs_vctr/double
endline,a16_dob_2,Date
endline,a16_u7age_yr_2,character
endline,a16_u7age_mth_2,character
endline,a16_age_u7_2,numeric
endline,a15_u7_relation_2,haven_labelled/vctrs_vctr/double
endline,a16_u7gender_3,haven_labelled/vctrs_vctr/double
endline,a16_dob_3,Date
endline,a16_u7age_yr_3,character
endline,a16_u7age_mth_3,character
endline,a16_age_u7_3,numeric
endline,a15_u7_relation_3,haven_labelled/vctrs_vctr/double
endline,b3_electricity,character
endline,b3_electricity_1,haven_labelled/vctrs_vctr/double
endline,b3_electricity_2,haven_labelled/vctrs_vctr/double
endline,b3_electricity_3,haven_labelled/vctrs_vctr/double
endline,b3_electricity_4,haven_labelled/vctrs_vctr/double
endline,b3_electricity_5,haven_labelled/vctrs_vctr/double
endline,b3_electricity_6,haven_labelled/vctrs_vctr/double
endline,b3_electricity_7,haven_labelled/vctrs_vctr/double
endline,b3_electricity_0,haven_labelled/vctrs_vctr/double
endline,b4_water,haven_labelled/vctrs_vctr/double
endline,b5_roof,haven_labelled/vctrs_vctr/double
endline,b6_wall,haven_labelled/vctrs_vctr/double
endline,b7_stove,haven_labelled/vctrs_vctr/double
endline,b8_meat,haven_labelled/vctrs_vctr/double
endline,c1_time_preg,numeric
endline,c2_nature_preg,character
endline,c2_nature_preg_1,haven_labelled/vctrs_vctr/double
endline,c2_nature_preg_2,haven_labelled/vctrs_vctr/double
endline,c2_nature_preg_3,haven_labelled/vctrs_vctr/double
endline,c2_nature_preg_4,haven_labelled/vctrs_vctr/double
endline,c2_nature_preg_5,haven_labelled/vctrs_vctr/double
endline,c2_nature_preg_6,haven_labelled/vctrs_vctr/double
endline,c2_nature_preg_7,haven_labelled/vctrs_vctr/double
endline,c2_nature_preg_8,haven_labelled/vctrs_vctr/double
endline,c2_nature_preg_9,haven_labelled/vctrs_vctr/double
endline,c2_nature_preg_10,haven_labelled/vctrs_vctr/double
endline,c2_nature_preg_11,haven_labelled/vctrs_vctr/double
endline,c3_test_preg,haven_labelled/vctrs_vctr/double
endline,c4_hospital_preg,numeric
endline,c5_amount_preg,numeric
endline,c6_selfmed_preg,numeric
endline,c7_compare_preg,haven_labelled/vctrs_vctr/double
endline,c71_compare2_preg,haven_labelled/vctrs_vctr/double
endline,c8_illyesno_preg,haven_labelled/vctrs_vctr/double
endline,c9_insu_preg,haven_labelled/vctrs_vctr/double
endline,c10_seekcare_preg,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg,character
endline,c11_disease_preg_1,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_2,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_3,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_4,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_5,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_6,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_7,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_8,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_9,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_10,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_11,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_12,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_13,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_14,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_15,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_16,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_17,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_18,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_19,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_20,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_21,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_22,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_23,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_24,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_25,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_26,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_27,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_28,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_29,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_30,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_31,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_32,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_33,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_34,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_35,haven_labelled/vctrs_vctr/double
endline,c11_disease_preg_36,haven_labelled/vctrs_vctr/double
