wave,name,label,type,n_missing,pct_missing,n_unique,examples
baseline,c16_virtual_u7_1_2,C16_1.[Text Message] was the ways of teleconsultations used in the last 30 days.,haven_labelled,3206,99.9,1,0
baseline,c16_virtual_u7_2_2,C16_2.[Email] was the ways of teleconsultations used in the last 30 days.,haven_labelled,3206,99.9,1,0
baseline,c16_virtual_u7_3_2,"C16_3.[Messaging within a website (e.g., patient portal, viber, telegram, messen",haven_labelled,3206,99.9,1,0
baseline,c16_virtual_u7_4_2,C16_4.[Phone calls] was the ways of teleconsultations used in the last 30 days.,haven_labelled,3206,99.9,1,1
baseline,c16_virtual_u7_5_2,"C16_5.[Videoconference (e.g viber, telegram, messenger)] was the ways of telecon",haven_labelled,3206,99.9,1,0
baseline,c16_virtual_u7_6_2,"C16_6.[Audioconference (e.g viber, telegram, messenger)] was the ways of telecon",haven_labelled,3206,99.9,1,0
baseline,c16_virtual_u7_7_2,C16_7.[eVisit (when you answer questions about your health issue online and hear,haven_labelled,3206,99.9,1,0
baseline,c17_virtime_u7_2,C17.Times of telemedicine consultations in  the last 30 days [Child (2)],numeric,3206,99.9,2,1 | 3
baseline,c19_pertime_u7_2,C19.Times in-person consultation visits in the last 30 days [Child (2)],numeric,2935,91.4,9,1 | 8 | 2 | 3 | 6
baseline,c20_personlast_u7_2,C20.Place of in person visist for the most recent visit in the last 30 days [Chi,haven_labelled,2935,91.4,12,8 | 7 | 12 | 10 | 3
baseline,c21_health_u7_2,C21. Money spent on direct health care costs for the most recent visit [Child (2,numeric,2933,91.4,46,5000 | 8000 | 25000 | 6000 | 4200
baseline,c22_nonhealth_u7_2,C22.Money was spent on indirect healthcare costs for the most recent visit [Chil,numeric,2933,91.4,28,2000 | 1000 | 6000 | 4000 | 3000
baseline,c22b_u7_total_2,C22b.Total health care cost for primary care visits [Child (2)],numeric,2932,91.3,68,7000 | 9000 | 31000 | 8000 | 5200
baseline,c23_reimburse_u7_2,C23.Amount of money [MMK] reimbursed from main health insurance [Child (2)],numeric,3199,99.7,2,0 | 40000
baseline,c24_stopnormal_u7_2,C24.Number Days stoped normal activities because of the illness [Child (2)],numeric,2699,84.1,16,0 | 2 | 3 | 4 | 10
baseline,c25_assist_u7_2,C25.Gov/NGO/INGO assistance for [Child (2)],character,0,0,15, | 6 | 7 | 0 | 4
baseline,c25_assist_u7_0_2,C25_0.[None] is the orgainzation where the assistance is received currently.,haven_labelled,2439,76,2,0 | 1
baseline,c25_assist_u7_1_2,C25_1.[Save the children] is the orgainzation where the assistance is received c,haven_labelled,2400,74.8,2,0 | 1
baseline,c25_assist_u7_2_2,C25_2.[LIFT] is the orgainzation where the assistance is received currently.,haven_labelled,2400,74.8,2,0 | 1
baseline,c25_assist_u7_3_2,C25_3.[MCCT] is the orgainzation where the assistance is received currently.,haven_labelled,2400,74.8,2,0 | 1
baseline,c25_assist_u7_4_2,C25_4.[UNICEF] is the orgainzation where the assistance is received currently.,haven_labelled,2400,74.8,2,0 | 1
baseline,c25_assist_u7_5_2,C25_5.[World Food Program (WFP)] is the orgainzation where the assistance is rec,haven_labelled,2400,74.8,2,0 | 1
baseline,c25_assist_u7_6_2,C25_6.[Local charity organizations] is the orgainzation where the assistance is,haven_labelled,2400,74.8,2,1 | 0
baseline,c25_assist_u7_8_2,C25_8.[Myat Wynn Lay Myar group] is the orgainzation where the assistance is rec,haven_labelled,2400,74.8,1,0
baseline,c25_assist_u7_7_2,C25_7.[TdH] is the orgainzation where the assistance is received currently.,haven_labelled,2397,74.7,2,0 | 1
baseline,c25_assist_u7_98_2,C25_98.Don't know the orgainzation where the assistance is received currently.,haven_labelled,2439,76,2,0 | 1
baseline,c26_nonsick_u7_2,C26.The reasons of visit/interact with health care providers although [Child (2),character,0,0,5, | 4 | 1 | 1 4 | 3
baseline,c26_nonsick_u7_1_2,C26_1.[Under five visit with vaccination] is the reason that Under 6 children vi,haven_labelled,2909,90.6,2,0 | 1
baseline,c26_nonsick_u7_2_2,C26_2.[Under five visit without vaccination] is the reason that Under 6 children,haven_labelled,2909,90.6,1,0
baseline,c26_nonsick_u7_3_2,C26_3.[General check-up] is the reason that Under 6 children visit/interact with,haven_labelled,2909,90.6,2,0 | 1
baseline,c26_nonsick_u7_4_2,C26_4.[Didn't go to heath care facillity or consult with health care provider] i,haven_labelled,2905,90.5,2,1 | 0
baseline,c27_notconsult_u7_2,C27.The reasons that the [Child (2)] didn't seek health care although sick/injur,character,0,0,24, | 2 | 3 | 2 3 | 1
baseline,c27_notconsult_u7_1_2,C27_1.[Not serious illness] was the reason that do not visit/interact with healt,haven_labelled,2977,92.7,2,0 | 1
baseline,c27_notconsult_u7_2_2,C27_2.[Self-treated] was the reason that do not visit/interact with health care,haven_labelled,2976,92.7,2,1 | 0
baseline,c27_notconsult_u7_3_2,C27_3.[No money for treatment] was the reason that do not visit/interact with he,haven_labelled,2977,92.7,2,0 | 1
baseline,c27_notconsult_u7_4_2,C27_4.[Too far] was the reason that do not visit/interact with health care provi,haven_labelled,2977,92.7,2,0 | 1
baseline,c27_notconsult_u7_5_2,C27_5.[Poor services] was the reason that do not visit/interact with health care,haven_labelled,2977,92.7,1,0
baseline,c27_notconsult_u7_6_2,C27_6.[Not safe] was the reason that do not visit/interact with health care prov,haven_labelled,2977,92.7,2,0 | 1
baseline,c27_notconsult_u7_7_2,C27_7.[Do not know can be fixed] was the reason that do not visit/interact with,haven_labelled,2977,92.7,1,0
baseline,c27_notconsult_u7_8_2,C27_8.[Do not know where to go] was the reason that do not visit/interact with h,haven_labelled,2977,92.7,1,0
baseline,c27_notconsult_u7_9_2,C27_9.[Too expensive] was the reason that do not visit/interact with health care,haven_labelled,2977,92.7,2,0 | 1
baseline,c27_notconsult_u7_10_2,C27_10.[Too far] was the reason that do not visit/interact with health care prov,haven_labelled,2977,92.7,2,0 | 1
baseline,c27_notconsult_u7_11_2,C27_11.[Could not get permission] was the reason that do not visit/interact with,haven_labelled,2977,92.7,1,0
baseline,c27_notconsult_u7_12_2,C27_12.[Embarrassment] was the reason that do not visit/interact with health car,haven_labelled,2977,92.7,1,0
baseline,c27_notconsult_u7_13_2,C27_13.[Problem disappeared] was the reason that do not visit/interact with heal,haven_labelled,2977,92.7,2,0 | 1
baseline,c27_notconsult_u7_14_2,C27_14.[Didn’t want to go/ anxious] was the reason that do not visit/interact wi,haven_labelled,2977,92.7,2,0 | 1
baseline,c27_notconsult_u7_15_2,C27_15.[Bad previous experience] was the reason that do not visit/interact with,haven_labelled,2977,92.7,1,0
baseline,c27_notconsult_u7_16_2,C27_16.[Couldn’t stop working] was the reason that do not visit/interact with he,haven_labelled,2977,92.7,1,0
baseline,c27_notconsult_u7_17_2,C27_17.[Had children/ other responsibilities at home] was the reason that do not,haven_labelled,2977,92.7,1,0
baseline,c27_notconsult_u7_18_2,C27_18.[There were insufficient health care providers at the clinics/hospitals],haven_labelled,2977,92.7,1,0
baseline,c27_notconsult_u7_19_2,C27_19.[Doctors or health care providers didn’t allow me to come] was the reason,haven_labelled,2977,92.7,2,0 | 1
baseline,c27_notconsult_u7_20_2,C27_20.[Concern about getting Covid 19] was the reason that do not visit/interac,haven_labelled,2977,92.7,2,0 | 1
baseline,c27_notconsult_u7_21_2,C27_21.[Concern about transmitting Covid 19 to other people] was the reason that,haven_labelled,2977,92.7,1,0
baseline,c27_notconsult_u7_22_2,C27_22.[Clinics were closed] was the reason that do not visit/interact with heal,haven_labelled,2977,92.7,2,0 | 1
baseline,c27_notconsult_u7_23_2,C27_23.[Could not get appointment or appointment was cancelled or postponed (eg.,haven_labelled,2977,92.7,1,0
baseline,c27_notconsult_u7_24_2,C27_24.[Lack of available transportation] was the reason that do not visit/inter,haven_labelled,2977,92.7,2,0 | 1
baseline,c27_notconsult_u7_25_2,C27_25.[Clinic/ hospital had a long wait time] was the reason that do not visit/,haven_labelled,2977,92.7,1,0
baseline,c28_inpatient_u7_2,C28.Hospitalization during 12 months [Child (2)],haven_labelled,2400,74.8,2,0 | 1
baseline,c29_insu_u7_2,C29.Main (government or private) health insurance covering inpatient care[Child,haven_labelled,2400,74.8,5,0 | 4 | 98 | 1 | 2
baseline,c30_episode_u7_2,C30.Episodes of hospitalization in the last 12 months [Child (2)],numeric,3176,98.9,3,1 | 3 | 2
baseline,c31_disease_u7_2,C31.Reasons for hospitalization for the most recent episode [Child (2)],character,0,0,14, | 2 | 34 | 5 | 25
baseline,c31_disease_u7_1_2,C31_1.[Malaria/ fever] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_2_2,C31_2.[Diseases of Respiratory including pneumonia] was the reason for hospitali,haven_labelled,3176,98.9,2,1 | 0
baseline,c31_disease_u7_3_2,C31_3.[TB] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_4_2,C31_4.[Kidney disease] was the reason for hospitalization..,haven_labelled,3176,98.9,2,0 | 1
baseline,c31_disease_u7_5_2,C31_5.[Liver disease] was the reason for hospitalization..,haven_labelled,3176,98.9,2,0 | 1
baseline,c31_disease_u7_6_2,C31_6.[Cardiovascular disease] was the reason for hospitalization..,haven_labelled,3176,98.9,2,0 | 1
baseline,c31_disease_u7_7_2,C31_7.[Haematological disorders] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_8_2,C31_8.[Eye infections] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_9_2,C31_9.[HIV/AIDS] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_10_2,C31_10.[Diabetes] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_11_2,C31_11.[Hypertension] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_12_2,C31_12.[Diarrhea] was the reason for hospitalization..,haven_labelled,3176,98.9,2,0 | 1
baseline,c31_disease_u7_13_2,C31_13.[Intestinal worms] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_14_2,C31_14.[STD (Syphilis etc)] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_15_2,C31_15.[Accidents and injuries] was the reason for hospitalization..,haven_labelled,3176,98.9,2,0 | 1
baseline,c31_disease_u7_16_2,C31_16.[Gender Based Violence related injuries] was the reason for hospitalizati,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_17_2,C31_17.[Cancer] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_18_2,C31_18.[Childbirth (Normal Delivery)] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_19_2,C31_19.[Childbirth (Caesarean) ] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_20_2,C31_20.[Treatment/ surgery for reproductive health related cancers etc.] was the,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_21_2,C31_21.[Post-natal care/ delivery complications] was the reason for hospitalizat,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_22_2,C31_22.[Abortion] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_23_2,C31_23.[Covid-19] was the reason for hospitalization..,haven_labelled,3176,98.9,2,0 | 1
baseline,c31_disease_u7_24_2,C31_24.[Surgery for Appendicitis] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_25_2,"C31_25.[Skin diseases (e.g., boils, lesions, etc.)] was the reason for hospitali",haven_labelled,3176,98.9,2,0 | 1
baseline,c31_disease_u7_42_2,C31_42.[Cleft palate surgery] was the reason for hospitalization..,haven_labelled,3176,98.9,2,0 | 1
baseline,c31_disease_u7_41_2,C31_41.[The newborn could not be fed.] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_40_2,C31_40.[Low Birth weight] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_39_2,C31_39.[Constipation] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_38_2,C31_38.[Meningitis] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_37_2,C31_37.[Jaundice] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_36_2,"C31_36.[Signs of labours (pain, rupture of membrane)] was the reason for hospita",haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_35_2,C31_35.[Drug poison/food poison] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_34_2,C31_34.[Fever] was the reason for hospitalization..,haven_labelled,3176,98.9,2,0 | 1
baseline,c31_disease_u7_33_2,C31_33.[Epilepsy/seizure] was the reason for hospitalization..,haven_labelled,3175,98.9,2,0 | 1
baseline,c31_disease_u7_32_2,C31_32.[Intussusception] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_31_2,C31_31.[Melena] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_30_2,C31_30.[Surgery for hernia] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_29_2,C31_29.[Surgery for hydrocephalus] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_28_2,C31_28.[Dengue Haemorrhagic Fever] was the reason for hospitalization..,haven_labelled,3176,98.9,2,0 | 1
baseline,c31_disease_u7_27_2,C31_27.[Abnormal pregnancy/pregnancy complications/malpresentation] was the reas,haven_labelled,3176,98.9,1,0
baseline,c31_disease_u7_26_2,C31_26.[Gastritics] was the reason for hospitalization..,haven_labelled,3176,98.9,1,0
baseline,c32_opd_u7_2,C32.Seeking outpatient/primary care before hospitalization [Child (2)],haven_labelled,3176,98.9,2,0 | 1
baseline,c33_hospital_u7_2,C33.Place of hospitalization for the most recent episode [Child (2)],haven_labelled,3176,98.9,4,1 | 3 | 2 | 5
baseline,c34_stopnormal_u7_2,C34.Number of days stopped for normal activities because of the hospitalization,numeric,3176,98.9,12,4 | 5 | 2 | 3 | 0
baseline,c35_days_u7_2,C35.Days spent in the hospital for the most recent hospitalization [Child (2)],numeric,3176,98.9,10,3 | 5 | 1 | 2 | 10
baseline,c36_health_u7_2,C36.Amount of money[MMK] spent on direct health care costs for most recent hospi,numeric,3178,99,21,20000 | 50000 | 5000 | 0 | 65000
baseline,c37_nonhealth_u7_2,C37.Amount of money[MMK] spent on indirect health care costs for most recent hos,numeric,3177,99,15,30000 | 5000 | 20000 | 0 | 100000
baseline,c37b_u7_total_2,C37.Total health care costs for inpatient care[Child (2)],numeric,3176,98.9,24,50000 | 55000 | 35000 | 20000 | 196
baseline,c1_time_u7_3,C1.Time of consulting/visiting/interaction with health care providers in the las,numeric,3089,96.2,13,0 | 6 | 5 | 2 | 1
baseline,c2_nature_u7_3,C2.Nature of the interactions in the last 12 months [Child (3)],character,0,0,4, | 1 2 | 2 | 1
baseline,c2_nature_u7_1_3,C2_1.[Illness/ Injury] was the nature of visit/interaction in the last 12 months,haven_labelled,3151,98.2,2,1 | 0
baseline,c2_nature_u7_2_3,C2_2.[Child immunization] was the nature of visit/interaction in the last 12 mon,haven_labelled,3152,98.2,2,1 | 0
baseline,c2_nature_u7_3_3,C2_3.[Antenatal care] was the nature of visit/interaction in the last 12 months.,haven_labelled,3152,98.2,1,0
baseline,c2_nature_u7_4_3,C2_4.[Influenza Vaccination] was the nature of visit/interaction in the last 12,haven_labelled,3152,98.2,1,0
baseline,c2_nature_u7_5_3,C2_5.[Covid 19 vaccination] was the nature of visit/interaction in the last 12 m,haven_labelled,3152,98.2,1,0
baseline,c2_nature_u7_6_3,C2_6.[Medical checkup] was the nature of visit/interaction in the last 12 months,haven_labelled,3152,98.2,1,0
baseline,c2_nature_u7_7_3,C2_7.[Receiving health education/medical advice] was the nature of visit/interac,haven_labelled,3152,98.2,1,0
baseline,c2_nature_u7_8_3,C2_8.[Newborn followup] was the nature of visit/interaction in the last 12 month,haven_labelled,3152,98.2,1,0
baseline,c2_nature_u7_9_3,C2_9.[Low birth weight] was the nature of visit/interaction in the last 12 month,haven_labelled,3152,98.2,1,0
baseline,c2_nature_u7_10_3,C2_10.[Obesity] was the nature of visit/interaction in the last 12 months.,haven_labelled,3152,98.2,1,0
baseline,c2_nature_u7_99_3,3 c2_nature_u7_99_,character,0,0,3, | 0 | 1
baseline,c2_nature_u7_oth_3,3 c2_nature_u7_oth_,character,0,0,2, | ရေကျောက်
baseline,c3_test_u7_3,C3.Tests/Investigations involved in the last 12 months [Child (3)],haven_labelled,3152,98.2,2,0 | 1
baseline,c4_hospital_u7_3,C4.Episodes of hospitalization in the last 12 months [Child (3)],numeric,3089,96.2,2,0 | 1
baseline,c5_amount_u7_3,C5.Approximate spent on health care in the last 12 months [Child (3)],numeric,3152,98.2,25,25000 | 40000 | 10000 | 800000 | 15000
baseline,c6_selfmed_u7_3,C6.Approximate spent on self-prescribed medication in the last 12 months [Child,numeric,3148,98.1,17,0 | 10000 | 4500 | 2500 | 50000
baseline,c7_compare_u7_3,C7.Health care utilizaiton after February 1. [Child (3)],haven_labelled,3089,96.2,4,3 | 1 | 4 | 2
baseline,c8_illyesno_u7_3,"C8.llness, injury, or health complaints in the last 30 days [Child (3)]",haven_labelled,3089,96.2,2,0 | 1
baseline,c9_insu_u7_3,C9.Main (government or private) health insurance covering outpatient care for si,haven_labelled,3089,96.2,3,0 | 4 | 1
baseline,c10_seekcare_u7_3,C10.Consulting/visiting/interacting with health care providers during the past 3,haven_labelled,3134,97.6,2,0 | 1
baseline,c11_disease_u7_3,C11.Disease diagnosed for the most recent interaction in the past 30 days [Child,character,0,0,17, | 3 | 11 | 3 8 9 | 3 8 9 10
baseline,c11_disease_u7_1_3,C11_1.[Diarrhea ] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_2_3,C11_2.[Dengue Hemorrhagic Fever] was disease diagnosed by doctor/health care pro,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_3_3,C11_3.[Fever] was disease diagnosed by doctor/health care provider for the recen,haven_labelled,3169,98.7,2,1 | 0
baseline,c11_disease_u7_4_3,C11_4.[Malaria] was disease diagnosed by doctor/health care provider for the rec,haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_5_3,C11_5.[Typhoid] was disease diagnosed by doctor/health care provider for the rec,haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_6_3,C11_6.[Kidney disease] was disease diagnosed by doctor/health care provider for,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_7_3,"C11_7.[Skin diseases (e.g., boils, lesions, etc.)] was disease diagnosed by doct",haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_8_3,C11_8.[Cough] was disease diagnosed by doctor/health care provider for the recen,haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_9_3,C11_9.[Nasal congestion] was disease diagnosed by doctor/health care provider fo,haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_10_3,C11_10.[Running nose] was disease diagnosed by doctor/health care provider for t,haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_11_3,C11_11.[Influenza] was disease diagnosed by doctor/health care provider for the,haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_12_3,C11_12.[Abdominal pain] was disease diagnosed by doctor/health care provider for,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_13_3,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_14_3,C11_14.[Hypertension] was disease diagnosed by doctor/health care provider for t,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_15_3,C11_15.[Diabetes] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_16_3,C11_16.[Nausea and vomiting] was disease diagnosed by doctor/health care provide,haven_labelled,3169,98.7,2,0 | 1
baseline,c11_disease_u7_17_3,"C11_17.[Accidents (motorbike/car accidents, etc)] was disease diagnosed by docto",haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_18_3,C11_18.[Occupational injuries or other injuries] was disease diagnosed by doctor,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_19_3,C11_19.[Oral disease] was disease diagnosed by doctor/health care provider for t,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_45_3,C11_45.[Eyes disease/eyes infection] was disease diagnosed by doctor/health care,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_44_3,C11_44.[Jaundice] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_43_3,C11_43.[Back pain] was disease diagnosed by doctor/health care provider for the,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_42_3,C11_42.[Weakness] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_41_3,C11_41.[Medical checkup/investigations] was disease diagnosed by doctor/health c,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_40_3,C11_40.[Paralysis] was disease diagnosed by doctor/health care provider for the,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_39_3,C11_39.[Epilepsy/seizure] was disease diagnosed by doctor/health care provider f,haven_labelled,3168,98.7,2,0 | 1
baseline,c11_disease_u7_38_3,C11_38.[Epistasis] was disease diagnosed by doctor/health care provider for the,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_37_3,C11_37.[Ear infection] was disease diagnosed by doctor/health care provider for,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_36_3,C11_36.[Bloating] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_35_3,C11_35.[Hydrocephalus] was disease diagnosed by doctor/health care provider for,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_34_3,C11_34.[Indigestion] was disease diagnosed by doctor/health care provider for th,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_33_3,C11_33.[Bone demorfimty] was disease diagnosed by doctor/health care provider fo,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_32_3,C11_32.[Intestinal worms] was disease diagnosed by doctor/health care provider f,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_31_3,C11_31.[Asthema] was disease diagnosed by doctor/health care provider for the re,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_30_3,C11_30.[Pneumonia/AVI/Other respiratory tract infections] was disease diagnosed,haven_labelled,3167,98.7,2,0 | 1
baseline,c11_disease_u7_29_3,C11_29.[Constipation] was disease diagnosed by doctor/health care provider for t,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_28_3,C11_28.[Neurological disorders/headache] was disease diagnosed by doctor/health,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_27_3,C11_27.[Urinary tract infection(UTI)] was disease diagnosed by doctor/health car,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_26_3,C11_26.[Gastritics] was disease diagnosed by doctor/health care provider for the,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_25_3,C11_25.[Food poison] was disease diagnosed by doctor/health care provider for th,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_24_3,C11_24.[Muscle and joint pain] was disease diagnosed by doctor/health care provi,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_23_3,C11_23.[Sore throat] was disease diagnosed by doctor/health care provider for th,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_22_3,C11_22.[Heart disease] was disease diagnosed by doctor/health care provider for,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_21_3,"C11_21.[Complications of pregnancy (diziness, bleeding, pain,weakness)] was dise",haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_20_3,C11_20.[Low blood pressure/hypotension] was disease diagnosed by doctor/health c,haven_labelled,3169,98.7,1,0
baseline,c12_diagnose_u7_3,C12.Diagnostic / lab tests performed [Child (3)],haven_labelled,3169,98.7,2,0 | 1
baseline,c13_medication_u7_3,C13.Prescribing medications [Child (3)],haven_labelled,3169,98.7,1,1
baseline,c14_meditake_u7_3,C14.Taking the medicines as prescribed [Child (3)],haven_labelled,3169,98.7,2,1 | 0
baseline,c15_format_u7_3,C15.Format of seeking medical advice/treatment [Child (3)],character,0,0,2, | 1
baseline,c15_format_u7_1_3,C15_1.[In person] was the format of health seeking in the last 30 days.,haven_labelled,3169,98.7,1,1
baseline,c15_format_u7_2_3,C15_2.[Telemdicine only] was the format of health seeking in the last 30 days.,haven_labelled,3169,98.7,1,0
baseline,c15_format_u7_3_3,C15_3.[Mix of inperson and telemedcicne] was the format of health seeking in the,haven_labelled,3169,98.7,1,0
baseline,c19_pertime_u7_3,C19.Times in-person consultation visits in the last 30 days [Child (3)],numeric,3169,98.7,5,2 | 1 | 5 | 4 | 3
baseline,c20_personlast_u7_3,C20.Place of in person visist for the most recent visit in the last 30 days [Chi,haven_labelled,3169,98.7,4,8 | 7 | 4 | 1
baseline,c21_health_u7_3,C21. Money spent on direct health care costs for the most recent visit [Child (3,numeric,3170,98.8,15,30000 | 5000 | 6000 | 10000 | 4000
baseline,c22_nonhealth_u7_3,C22.Money was spent on indirect healthcare costs for the most recent visit [Chil,numeric,3170,98.8,14,6000 | 2000 | 0 | 3000 | 1500
baseline,c22b_u7_total_3,C22b.Total health care cost for primary care visits [Child (3)],numeric,3169,98.7,25,36000 | 7000 | 6000 | 8000 | 12000
baseline,c23_reimburse_u7_3,C23.Amount of money [MMK] reimbursed from main health insurance [Child (3)],numeric,3209,100,1,15000
baseline,c24_stopnormal_u7_3,C24.Number Days stoped normal activities because of the illness [Child (3)],numeric,3134,97.6,9,5 | 2 | 0 | 6 | 4
baseline,c25_assist_u7_3,C25.Gov/NGO/INGO assistance for [Child (3)],character,0,0,10, | 0 3 | 0 | 7 | Don't know
baseline,c25_assist_u7_0_3,C25_0.[None] is the orgainzation where the assistance is received currently.,haven_labelled,3097,96.5,2,1 | 0
baseline,c25_assist_u7_1_3,C25_1.[Save the children] is the orgainzation where the assistance is received c,haven_labelled,3089,96.2,2,0 | 1
baseline,c25_assist_u7_2_3,C25_2.[LIFT] is the orgainzation where the assistance is received currently.,haven_labelled,3089,96.2,1,0
baseline,c25_assist_u7_3_3,C25_3.[MCCT] is the orgainzation where the assistance is received currently.,haven_labelled,3089,96.2,2,1 | 0
baseline,c25_assist_u7_4_3,C25_4.[UNICEF] is the orgainzation where the assistance is received currently.,haven_labelled,3089,96.2,2,0 | 1
baseline,c25_assist_u7_5_3,C25_5.[World Food Program (WFP)] is the orgainzation where the assistance is rec,haven_labelled,3089,96.2,2,0 | 1
baseline,c25_assist_u7_6_3,C25_6.[Local charity organizations] is the orgainzation where the assistance is,haven_labelled,3089,96.2,1,0
baseline,c25_assist_u7_8_3,C25_8.[Myat Wynn Lay Myar group] is the orgainzation where the assistance is rec,haven_labelled,3089,96.2,1,0
baseline,c25_assist_u7_7_3,C25_7.[TdH] is the orgainzation where the assistance is received currently.,haven_labelled,3088,96.2,2,0 | 1
baseline,c25_assist_u7_98_3,C25_98.Don't know the orgainzation where the assistance is received currently.,haven_labelled,3097,96.5,2,0 | 1
baseline,c26_nonsick_u7_3,C26.The reasons of visit/interact with health care providers although [Child (3),character,0,0,3, | 4 | 1
baseline,c26_nonsick_u7_1_3,C26_1.[Under five visit with vaccination] is the reason that Under 6 children vi,haven_labelled,3165,98.6,2,0 | 1
baseline,c26_nonsick_u7_2_3,C26_2.[Under five visit without vaccination] is the reason that Under 6 children,haven_labelled,3165,98.6,1,0
